yfukcu,lhnpgel,dejgqsnl,ttzsbzzztt,fswewrmgbl,lqwtwpo,wnlat,jfgmzi,tqpvwxqsvk,kozisucyqc
850,334,975,784,771,919,98,595,505,617
270,66,781,413,74,856,498,985,328,655
733,199,421,581,272,24,894,618,741,164
922,351,668,171,753,299,261,64,975,438
831,342,410,124,544,585,435,750,311,487
442,14,872,684,915,904,392,423,394,714
493,459,432,464,894,114,385,193,678,775
193,803,753,741,731,721,288,661,246,229
129,706,141,629,661,444,192,50,112,104
388,903,772,739,467,699,489,307,368,702
497,570,540,819,686,904,661,185,576,464
862,146,298,313,319,549,127,444,689,831
832,364,693,116,281,532,369,303,282,797
489,717,620,503,288,835,810,297,519,905
679,731,940,69,818,869,170,970,956,588
311,675,363,18,841,452,327,806,105,598
458,752,914,473,531,471,521,524,826,352
938,457,835,90,653,293,95,189,114,854
977,998,267,748,4,385,438,27,552,248
357,612,773,124,460,619,651,809,293,2
73,691,575,907,602,140,884,716,942,651
760,800,980,330,109,385,523,165,877,493
442,654,669,492,577,13,719,952,70,75
299,219,172,3,373,644,558,237,175,802
418,200,185,415,693,15,417,254,982,749
852,619,357,314,634,233,599,694,298,370
243,490,16,621,986,907,872,346,406,118
951,564,794,336,892,423,130,362,797,312
966,700,411,336,530,483,454,932,888,253
614,165,841,964,289,403,349,923,373,874
264,87,167,306,409,703,98,750,601,171
885,688,734,899,969,969,839,809,529,54
794,980,887,504,782,793,113,302,10,752
976,998,47,703,683,17,46,662,864,625
595,994,912,953,442,278,910,484,207,149
777,951,150,491,887,886,507,451,650,74
935,807,688,776,275,673,359,963,573,470
693,81,820,772,858,815,284,597,34,172
905,300,231,615,611,259,398,33,321,693
527,164,353,159,229,269,165,268,776,61
661,268,634,541,566,907,463,66,744,571
708,155,225,27,440,190,85,451,294,82
983,211,518,685,143,103,170,496,741,698
935,333,627,16,939,985,712,945,230,820
595,260,708,123,809,249,244,382,308,483
569,481,192,326,242,777,747,896,633,566
929,391,386,443,695,405,966,584,958,28
389,670,68,333,475,5,836,38,477,750
121,257,642,708,697,596,357,738,107,892
222,847,41,455,929,441,747,49,805,250
604,282,582,389,172,495,698,293,262,340
955,960,944,199,218,981,769,466,131,435
119,0,375,424,613,432,984,952,363,709
330,545,353,288,34,380,67,358,935,687
746,689,957,30,650,456,653,985,580,156
587,349,757,880,757,685,108,642,766,627
897,76,275,641,556,196,193,831,178,502
590,708,236,976,473,427,979,86,102,609
313,87,150,921,218,562,882,511,806,763
844,898,110,419,45,748,264,761,333,329
464,50,545,882,188,944,463,345,797,572
812,988,216,291,112,453,247,925,619,826
458,298,993,481,123,153,956,854,126,707
521,382,458,210,328,907,251,816,263,190
96,114,979,481,103,569,783,60,69,214
777,437,899,127,592,486,965,39,756,75
542,680,282,215,207,720,391,661,710,423
430,678,527,383,828,280,212,406,835,102
286,455,627,469,176,629,544,343,518,985
331,106,698,138,343,741,881,669,247,930
440,947,59,359,935,709,385,782,277,694
300,244,982,364,393,782,794,725,711,814
929,856,669,122,269,145,981,271,842,903
504,193,772,152,356,169,771,833,865,558
785,662,563,357,867,902,821,106,724,571
166,584,745,266,555,553,738,615,376,385
886,292,317,732,253,398,386,264,211,90
741,834,794,361,995,424,551,245,614,418
449,78,863,250,727,857,996,770,161,637
519,431,554,751,40,349,723,147,381,341
122,987,903,60,458,267,9,297,480,235
821,389,154,752,645,717,757,796,10,736
1,149,142,683,770,519,406,753,688,330
404,876,769,648,276,296,147,664,421,865
